feature,coefficient
has_mortgage_insurance,-0.22142907877579807
is_investment_property,0.11184551880531404
original_interest_rate,0.0625100552061712
was_modified,-0.026442996436852523
original_ltv,0.007965190836532866
is_condo,0.0061695642906764376
unemployment_rate,-0.004207717939281061
original_cltv,-0.0034983299379889783
hpi_national,0.0019450814787172026
dti,-0.0003171625023641781
borrower_credit_score,-0.00015877603677764735
loan_age_at_default,-0.00012921709710311802
original_upb,-9.544800420036026e-07
